Name,Preferred Subject,Target College,Preparation Level,Learning Style
Aspirant_1,Legal Reasoning,NALSAR,Advanced,Practice-heavy
Aspirant_2,English,NUJS,Advanced,Reading
Aspirant_3,Logical Reasoning,NLU Delhi,Intermediate,Practice-heavy
Aspirant_4,English,NLSIU,Advanced,Visual
Aspirant_5,Logical Reasoning,NLSIU,Beginner,Practice-heavy
Aspirant_6,GK,NLSIU,Beginner,Reading
Aspirant_7,English,NLU Delhi,Advanced,Visual
Aspirant_8,GK,NALSAR,Beginner,Visual
Aspirant_9,GK,NLSIU,Advanced,Practice-heavy
Aspirant_10,GK,NLSIU,Intermediate,Practice-heavy
